bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-03_ses-1_task-face_run-1_bold	0.0009973099415204678	0.005774423801169591	0	25.05847344120235	1.2064350504692087	1.014526276304985	0.4390721014284008	1229229.875	0.10663913171589792	12	3.508771929824561	1.9596996397101254	1.9854849747956267	2.1175703329727327	1.7760436113620168	0.0596997	-0.014757451601326466	0.01816362701356411	342	80	80	44	5.926574300539442	0.699999988079071	2.700000286102295	2.700000047683716	2.9700002670288086	32.91729830391779	54.74202040936674	821.3362426757812	36.92293167114258	188436.0	0.0	3922.436279296875	2040.3961181640625	1.7072133549916995	5361.628223703448	36792.66015625	36109.28515625	44985.0	28416.536328125	47631.60625	6092.70751953125	66.8418960571289
sub-03_ses-1_task-face_run-2_bold	0.001097076023391813	0.005464449210526316	0	26.08178688589443	1.226064668944281	1.0166063261290337	0.4398058963558594	813077.3125	0.10162914025363717	9	2.6315789473684212	1.9488434046361964	1.9790184835677944	2.1071110738981904	1.7604006564426038	0.0429937	-0.01578705385327339	0.01874420791864395	342	80	80	44	5.8544376865856895	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	33.053294514477415	56.38222513828113	822.6685180664062	38.09394836425781	188652.0	0.0435164449736476	3889.325891113277	2025.1513671875	1.6474656619331949	5364.451538475017	36364.4140625	35690.55078125	44852.0	27946.38134765625	47222.15195312499	6096.25634765625	69.19876861572266
sub-03_ses-1_task-face_run-3_bold	0.001279149560117302	0.005435726803519062	0	26.36984726917646	1.2326754528235295	1.0175043673823523	0.44261909466649063	679433.125	0.10300750695074302	16	4.69208211143695	1.9434210702477568	1.9742740392071398	2.1062518146541063	1.7497373568820245	0.0211712	-0.016694845631718636	0.018806900829076767	341	80	80	44	5.882356864677121	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	31.2778157143335	60.60712669705988	851.4003295898438	40.97960662841797	188410.0	0.05448740683496	4025.6100952148436	2051.28125	1.6086053133327365	5288.265475254543	35965.13671875	35339.90625	45052.0	27589.765234375	46603.678125	6007.71337890625	70.48574829101562
sub-03_ses-1_task-face_run-4_bold	0.0012303225806451613	0.005598373753665688	0	27.605631188794135	1.257874907911764	1.0161098964117645	0.4454788196965655	595375.6875	0.09956853233106078	10	2.932551319648094	1.9269380177378288	1.962937002370322	2.087314777951509	1.7305622728916554	0.0239553	-0.018016023561358452	0.018771331757307053	341	80	80	44	5.802284368372105	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	31.09618052397615	62.59697121181789	885.0477905273438	42.26396942138672	188273.0	0.02472657971084118	4188.966210937494	2100.829345703125	1.6012369925837522	5270.532162781636	35168.59375	34584.19921875	45146.0	26825.9853515625	45650.927734375	5960.37939453125	67.75560760498047
sub-03_ses-1_task-face_run-5_bold	0.0010776627218934912	0.0054591559763313615	3	27.930216916735894	1.2591246661127586	1.0188588155786331	0.4474504306800814	430271.875	0.09932766358901898	5	1.4792899408284024	1.952621294517461	2.004125890531789	2.116970332983329	1.7367676600372655	0.0342507	-0.01879279874265194	0.020876718685030937	338	80	80	44	5.695402082995845	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	26.5203420283145	72.15298513148943	888.484619140625	48.77527618408203	188178.0	0.0548545440658927	4268.611450195311	2034.2305908203125	1.3509190292499529	5285.834528843536	34212.88671875	33725.12890625	45234.0	25703.1712890625	44637.412695312494	5921.400390625	66.92437744140625
sub-03_ses-1_task-face_run-6_bold	0.001010791788856305	0.005692311319648095	0	27.190110448117665	1.2233406060882368	1.0094830498529415	0.4482351886808471	463048.40625	0.09187108984208525	4	1.1730205278592376	1.9489287019882982	2.001940705385196	2.108744407202678	1.736100993377021	0.0269882	-0.01938800886273384	0.02085091732442379	341	80	80	44	5.7056140873322585	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	26.25600106164595	69.43221643505991	908.0164184570312	46.930877685546875	188141.0	0.06122324988245964	4386.13623046875	2080.33251953125	1.3258237525803596	5303.719865957989	34365.94921875	33902.3671875	45274.0	25762.171484375	44803.9662109375	5941.86572265625	65.64791107177734
sub-03_ses-1_task-flocBLOCKED_bold	0.0011893846153846156	0.0055147472923076915	0	27.170278813765428	1.2345185174074085	1.0167495323148144	0.4464471547534811	473587.90625	0.0995285338903978	8	2.4615384615384617	1.961603561510044	2.0076518163954447	2.1270814439158716	1.750077424218816	0.0313169	-0.01860402151942253	0.020446229726076126	325	80	80	44	5.632478627577109	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	27.36590881537852	70.4088159892801	901.88623046875	47.6168327331543	188212.0	0.08773190118372441	4297.959472656243	2077.131103515625	1.360590573939949	5498.224535913108	35190.2578125	34659.77734375	45205.0	26341.634765625	46055.13671874999	6153.48876953125	66.43321990966797
sub-03_ses-2_task-face_run-1_bold	0.0010049560117302053	0.006314103225806451	0	28.88294030914705	1.322625871235295	1.0087405994117649	0.4444101350485409	1978718.75	0.08784620349609175	2	0.5865102639296188	1.944520621424024	1.9503036692601015	2.0851370002121925	1.7981211947997777	0.0414521	-0.01776491291821003	0.015417645685374737	341	80	80	44	6.280610876069927	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	28.77145012997868	37.612682493907016	896.7704467773438	25.427841186523438	188048.0	0.038361023366451266	4371.767895507812	2210.0732421875	1.8897795391520242	5091.9973194574895	37320.703125	36625.640625	45161.0	29511.36328125	47803.8828125	5831.4765625	69.51152038574219
sub-03_ses-2_task-face_run-2_bold	0.0010838416422287388	0.005799246451612903	0	28.070788254441183	1.308272629058823	1.013570078294117	0.44625657485776166	1820853.5	0.09362094834018868	8	2.346041055718475	1.950713326160309	1.9536555210527575	2.0930332963690352	1.805451161059134	0.034294	-0.018790747970342636	0.015685031190514565	341	80	80	44	6.277057391434647	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	27.613016831682064	38.56128150400295	914.6257934570312	26.065338134765625	187853.0	0.042509771138429644	4484.901171874997	2238.97119140625	1.7768672655118483	5065.298896694558	36809.296875	36150.4296875	45246.0	29082.908203125	47173.1884765625	5759.07275390625	72.49472045898438
sub-03_ses-2_task-face_run-3_bold	0.0011698533724340176	0.0060085567741935495	0	28.687087171205878	1.3181478982647064	1.0156559619117642	0.4491907646373952	1362413.25	0.08932110513178991	3	0.8797653958944281	1.918687737398801	1.9297036696239107	2.058844408083944	1.7675151344885478	0.0333804	-0.020049937069416046	0.016446102410554886	341	80	80	44	6.336404226043451	0.699999988079071	2.700000047683716	2.700000047683716	2.9700000286102295	25.18519097874088	42.565337715596826	932.2432861328125	28.78704833984375	187783.0	0.05913360416889191	4651.185009765622	2224.37890625	1.8067347141841852	4884.48513160095	35644.2890625	35019.34375	45374.0	28224.903125	45569.55078125	5526.62939453125	72.09493255615234
